x_min,x_max,y_min,y_max,ID
100,120,336,356,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_2_23
400,452,259,311,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_4_25
399,417,328,346,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_4_26
419,435,343,359,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_6_28
447,467,218,238,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_10_86
352,378,251,277,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_14_98
307,339,365,397,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_16_103
104,130,341,367,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_18_110
379,399,260,280,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_20_117
169,189,197,217,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_22_129
184,206,310,332,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_22_130
163,187,261,285,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_22_131
384,402,217,235,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_22_132
64,98,290,324,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_24_135
88,138,324,374,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_24_136
47,71,305,329,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_26_139
77,113,185,221,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_28_144
99,123,350,374,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_32_149
162,204,222,264,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_38_199
327,367,311,351,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_40_335
359,413,188,242,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_40_336
154,172,349,367,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_42_344
302,320,327,345,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_42_345
170,202,313,345,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_44_347
120,136,328,344,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_44_348
137,153,306,322,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_44_349
348,368,364,384,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_44_350
342,370,308,336,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_46_367
136,178,212,254,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_50_420
294,342,160,208,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_54_454
395,419,322,346,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_54_455
376,394,298,316,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_54_456
101,115,214,228,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_56_477
96,112,231,247,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_56_478
121,161,316,356,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_58_490
138,156,370,388,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_58_491
383,431,264,312,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_60_506
364,388,350,374,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_60_507
287,341,227,281,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_62_536
49,69,284,304,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_68_580
63,81,255,273,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_70_620
464,488,245,269,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_70_621
422,460,291,329,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_70_622
157,181,203,227,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_74_630
276,294,293,311,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_78_705
150,166,322,338,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_80_732
162,178,348,364,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_80_733
439,463,186,210,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_86_748
154,170,195,211,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_88_783
126,150,301,325,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_88_784
92,114,377,399,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_90_789
439,469,328,358,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_90_790
408,430,379,401,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_90_791
108,128,219,239,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_92_792
381,401,232,252,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_92_793
122,152,333,363,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_94_794
80,102,275,297,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_94_795
91,109,350,368,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_94_796
68,84,355,371,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_94_797
85,105,363,383,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_94_798
396,412,312,328,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_98_836
172,196,361,385,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_100_838
292,322,313,343,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_100_839
205,231,325,351,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_102_858
332,372,266,306,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_108_871
123,141,217,235,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_110_872
100,140,267,307,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_112_873
110,144,159,193,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_114_882
124,148,279,303,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_116_889
125,151,343,369,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_118_897
88,108,146,166,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_118_898
174,198,349,373,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_122_935
109,149,336,376,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_124_937
96,120,242,266,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_124_938
82,110,223,251,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_124_939
200,216,241,257,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_126_966
426,446,336,356,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_130_970
106,122,323,339,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_132_976
174,214,335,375,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_134_978
405,431,356,382,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_134_979
308,326,322,340,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_134_980
319,357,270,308,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_136_987
397,415,194,212,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_136_988
308,382,346,420,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_138_1011
122,152,299,329,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_138_1012
87,121,205,239,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_138_1013
396,428,322,354,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_140_1016
133,171,343,381,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_142_1017
338,382,217,261,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_142_1018
442,466,251,275,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_142_1019
413,429,191,207,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_144_1020
102,124,331,353,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_144_1021
172,190,241,259,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_144_1022
100,122,273,295,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_148_1030
132,162,292,322,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_150_1049
71,93,162,184,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_152_1054
114,148,270,304,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_156_1072
390,410,327,347,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_158_1073
145,171,270,296,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_158_1074
312,370,298,356,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_160_1084
155,201,351,397,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_162_1106
160,186,167,193,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_164_1108
147,165,174,192,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_164_1109
97,115,328,346,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_166_1116
280,298,274,292,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_166_1117
136,158,340,362,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_168_1123
224,238,317,331,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_168_1124
205,223,338,356,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_168_1125
167,187,119,139,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_170_1137
390,410,158,178,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_170_1138
360,418,291,349,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_172_1141
87,113,290,316,1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260_176_1180
103,131,244,272,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_2_9
122,162,271,311,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_4_15
303,323,327,347,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_6_24
98,124,200,226,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_12_48
415,435,237,257,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_12_49
388,412,255,279,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_12_50
79,99,302,322,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_14_72
348,366,345,363,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_14_73
339,363,209,233,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_16_104
366,386,269,289,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_16_105
122,156,286,320,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_18_106
148,184,323,359,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_18_107
163,181,373,391,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_20_125
148,184,289,325,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_20_126
137,163,246,272,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_28_166
211,241,140,170,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_40_225
370,396,365,391,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_42_227
46,66,206,226,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_44_229
94,116,340,362,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_46_236
401,417,149,165,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_48_237
268,328,261,321,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_50_248
388,408,292,312,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_50_249
115,135,315,335,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_50_250
322,340,221,239,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_50_251
150,166,338,354,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_50_252
184,198,308,322,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_50_253
438,454,255,271,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_50_254
167,209,333,375,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_54_271
142,158,348,364,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_54_272
87,119,267,299,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_54_273
86,134,230,278,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_54_274
126,142,192,208,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_54_275
339,365,291,317,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_54_276
281,351,331,401,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_56_306
444,468,170,194,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_58_307
58,78,208,228,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_58_308
176,190,178,192,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_58_309
154,172,109,127,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_60_316
341,361,224,244,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_60_317
345,369,269,293,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_62_318
281,301,355,375,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_62_319
320,338,253,271,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_62_320
286,306,227,247,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_62_321
177,199,197,219,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_70_364
439,465,259,285,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_76_439
453,471,236,254,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_76_440
206,244,288,326,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_78_444
341,383,283,325,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_78_445
124,154,175,205,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_78_446
407,445,293,331,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_84_528
390,418,346,374,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_84_529
391,417,278,304,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_86_555
374,390,289,305,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_86_556
150,170,384,404,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_86_557
291,333,307,349,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_90_586
365,393,347,375,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_90_587
352,376,347,371,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_90_588
306,342,281,317,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_90_589
329,363,332,366,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_90_590
442,462,247,267,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_92_603
88,110,165,187,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_92_604
75,89,170,184,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_92_605
350,376,197,223,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_94_623
150,168,178,196,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_94_624
182,214,345,377,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_94_625
387,411,228,252,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_94_626
381,397,239,255,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_94_627
350,378,162,190,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_94_628
148,166,187,205,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_98_664
138,158,158,178,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_98_665
146,166,134,154,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_98_666
161,201,210,250,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_100_699
140,164,161,185,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_100_700
382,398,197,213,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_100_701
89,111,376,398,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_102_713
136,160,138,162,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_104_725
289,315,336,362,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_104_726
0,-334,0,-138,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_106_749
359,407,311,359,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_110_762
272,300,284,312,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_110_763
320,344,189,213,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_110_764
300,382,319,401,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_110_765
390,404,234,248,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_110_766
375,423,239,287,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_114_841
390,454,207,271,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_114_842
337,369,394,426,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_118_846
191,219,135,163,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_120_855
92,112,213,233,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_120_856
121,139,263,281,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_120_857
169,191,308,330,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_122_874
300,318,209,227,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_124_877
70,120,333,383,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_126_908
135,155,390,410,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_126_909
154,186,338,370,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_128_910
217,239,276,298,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_128_911
168,188,329,349,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_128_912
362,388,275,301,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_128_913
190,206,233,249,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_128_914
279,303,309,333,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_128_915
72,88,287,303,1.3.6.1.4.1.14519.5.2.1.6279.6001.100684836163890911914061745866_132_936
